epoch	train_loss	val_loss	val_acc	f1score	recall	precision	time
17	103.232	132.428	74.836	74.836	0.748	0.748	2016_1q
18	98.73	134.598	74.846	74.846	0.748	0.748	2016_1q
19	98.379	132.042	75.191	75.191	0.752	0.752	2016_1q
20	96.391	132.992	76.027	76.027	0.76	0.76	2016_1q
1	162.945	151.539	68.201	68.201	0.682	0.682	2016_2q
2	153.672	149.413	68.717	68.717	0.687	0.687	2016_2q
3	150.637	145.932	69.756	69.756	0.698	0.698	2016_2q
4	147.839	144.057	70.221	70.221	0.702	0.702	2016_2q
5	144.3	141.762	70.711	70.711	0.707	0.707	2016_2q
6	140.531	139.191	71.576	71.576	0.716	0.716	2016_2q
7	136.298	137.709	71.9	71.9	0.719	0.719	2016_2q
8	132.996	136.846	72.315	72.315	0.723	0.723	2016_2q
9	128.312	137.017	72.315	72.315	0.723	0.723	2016_2q
10	123.33	139.747	71.917	71.917	0.719	0.719	2016_2q
11	119.746	136.476	72.606	72.606	0.726	0.726	2016_2q
12	115.736	134.368	73.728	73.728	0.737	0.737	2016_2q
13	113.01	137.493	73.595	73.595	0.736	0.736	2016_2q
14	110.143	128.617	75.216	75.216	0.752	0.752	2016_2q
15	106.271	130.349	75.166	75.166	0.752	0.752	2016_2q
16	104.22	129.341	75.175	75.175	0.752	0.752	2016_2q
17	102.029	131.361	75.083	75.083	0.751	0.751	2016_2q
18	98.845	137.401	74.684	74.684	0.747	0.747	2016_2q
19	96.988	131.065	75.416	75.416	0.754	0.754	2016_2q
20	95.232	133.018	75.457	75.457	0.755	0.755	2016_2q
1	173.926	152.17	67.64	67.64	0.676	0.676	2016_3q
2	156.805	148.571	68.914	68.914	0.689	0.689	2016_3q
3	152.672	145.8	69.727	69.727	0.697	0.697	2016_3q
4	149.244	144.203	70.22	70.22	0.702	0.702	2016_3q
5	145.657	142.672	70.878	70.878	0.709	0.709	2016_3q
6	142.234	140.692	71.032	71.032	0.71	0.71	2016_3q
7	138.515	138.126	71.803	71.803	0.718	0.718	2016_3q
8	134.312	136.688	72.379	72.379	0.724	0.724	2016_3q
9	130.612	135.06	73.129	73.129	0.731	0.731	2016_3q
10	126.148	133.481	73.489	73.489	0.735	0.735	2016_3q
11	120.273	133.098	73.653	73.653	0.737	0.737	2016_3q
12	118.131	132.642	74.208	74.208	0.742	0.742	2016_3q
13	113.99	133.379	73.962	73.962	0.74	0.74	2016_3q
14	111.308	132.642	74.445	74.445	0.744	0.744	2016_3q
15	108.292	131.369	74.671	74.671	0.747	0.747	2016_3q
16	104.682	135.06	74.589	74.589	0.746	0.746	2016_3q
17	100.852	137.873	74.918	74.918	0.749	0.749	2016_3q
18	99.2	132.69	75.319	75.319	0.753	0.753	2016_3q
20	94.95	135.58	75.226	75.226	0.752	0.752	2016_3q
1	174.13	154.378	67.864	67.864	0.679	0.679	2016_4q
2	158.625	150.945	68.585	68.585	0.686	0.686	2016_4q
3	154.186	147.457	69.787	69.787	0.698	0.698	2016_4q
4	150.832	145.088	70.448	70.448	0.704	0.704	2016_4q
5	147.934	145.788	70.237	70.237	0.702	0.702	2016_4q
6	145.044	141.718	71.109	71.109	0.711	0.711	2016_4q
7	143.155	141.907	71.094	71.094	0.711	0.711	2016_4q
8	139.456	137.485	72.566	72.566	0.726	0.726	2016_4q
9	135.607	136.06	72.867	72.867	0.729	0.729	2016_4q
10	131.459	134.967	73.287	73.287	0.733	0.733	2016_4q
11	127.919	133.173	74.038	74.038	0.74	0.74	2016_4q
12	123.164	133.445	73.678	73.678	0.737	0.737	2016_4q
13	119.865	132.734	74.023	74.023	0.74	0.74	2016_4q
14	117.005	131.675	74.594	74.594	0.746	0.746	2016_4q
15	112.662	133.144	74.7	74.7	0.747	0.747	2016_4q
1	143.73	132.035	73.585	73.585	0.736	0.736	2017_1q
2	134.972	131.377	73.407	73.407	0.734	0.734	2017_1q
3	130.816	126.355	74.66	74.66	0.747	0.747	2017_1q
4	127.643	123.504	75.396	75.396	0.754	0.754	2017_1q
5	124.371	121.755	75.685	75.685	0.757	0.757	2017_1q
6	121.095	119.032	76.664	76.664	0.767	0.767	2017_1q
7	117.505	117.828	77.105	77.105	0.771	0.771	2017_1q
8	114.002	115.972	77.613	77.613	0.776	0.776	2017_1q
9	111.171	116.514	77.638	77.638	0.776	0.776	2017_1q
10	108.707	114.174	78.206	78.206	0.782	0.782	2017_1q
11	106.1	115.685	78.384	78.384	0.784	0.784	2017_1q
12	103.677	115.692	77.77	77.77	0.778	0.778	2017_1q
13	101.467	115.255	78.358	78.358	0.784	0.784	2017_1q
14	100.189	114.261	78.445	78.445	0.784	0.784	2017_1q
15	97.5	116.096	78.521	78.521	0.785	0.785	2017_1q
16	95.555	115.163	78.85	78.85	0.789	0.789	2017_1q
17	94.203	116.002	78.683	78.683	0.787	0.787	2017_1q
18	92.983	114.946	79.145	79.145	0.791	0.791	2017_1q
1	144.079	133.76	72.781	72.781	0.728	0.728	2017_2q
2	135.233	130.479	73.534	73.534	0.735	0.735	2017_2q
3	131.598	128.197	74.094	74.094	0.741	0.741	2017_2q
4	127.833	124.734	74.919	74.919	0.749	0.749	2017_2q
5	124.098	122.018	75.439	75.439	0.754	0.754	2017_2q
6	121.433	120.392	75.95	75.95	0.76	0.76	2017_2q
7	118.035	120.715	75.693	75.693	0.757	0.757	2017_2q
8	115.154	117.629	76.852	76.852	0.769	0.769	2017_2q
9	112.549	116.427	77.271	77.271	0.773	0.773	2017_2q
10	110.399	115.884	77.513	77.513	0.775	0.775	2017_2q
11	108.027	115.962	77.557	77.557	0.776	0.776	2017_2q
12	105.793	115.361	77.706	77.706	0.777	0.777	2017_2q
13	104.553	114.903	77.835	77.835	0.778	0.778	2017_2q
14	103.581	116.203	77.597	77.597	0.776	0.776	2017_2q
15	101.811	115.585	77.887	77.887	0.779	0.779	2017_2q
16	100.314	115.547	77.867	77.867	0.779	0.779	2017_2q
17	98.662	116.055	77.783	77.783	0.778	0.778	2017_2q
18	97.409	119.04	77.702	77.702	0.777	0.777	2017_2q
19	96.926	118.264	77.875	77.875	0.779	0.779	2017_2q
20	95.631	117.462	78.012	78.012	0.78	0.78	2017_2q
1	150.875	137.883	73.835	73.835	0.738	0.738	2017_1q_reduced
2	139.445	133.962	74.55	74.55	0.746	0.746	2017_1q_reduced
3	135.669	130.568	75.192	75.192	0.752	0.752	2017_1q_reduced
4	132.606	128.323	75.715	75.715	0.757	0.757	2017_1q_reduced
5	128.371	126.98	75.914	75.914	0.759	0.759	2017_1q_reduced
6	125.378	125.049	76.349	76.349	0.763	0.763	2017_1q_reduced
7	122.626	123.212	77.093	77.093	0.771	0.771	2017_1q_reduced
8	119.643	122.49	77.226	77.226	0.772	0.772	2017_1q_reduced
9	116.675	122.143	77.196	77.196	0.772	0.772	2017_1q_reduced
10	113.585	120.558	77.734	77.734	0.777	0.777	2017_1q_reduced
