time	d_word	d_score	r_word	r_score	
2017_1q	stand	409.93330	care	409.93330
2017_1q	repeal	407.77631	president	407.77631
2017_1q	million	397.13232	new	397.13232
2017_1q	live	390.66974	see	390.66974
2017_1q	watch	385.92503	senate	385.92503
2017_1q	work	379.77753	proud	379.77753
2017_1q	vote	377.30035	th	377.30035
2017_1q	#protectourcare	376.04657	american	376.04657
2017_1q	make	368.79708	us	368.79708
2017_1q	rights	360.80388	time	360.80388
2017_1q	support	350.69881	act	350.69881
2017_1q	congress	349.90180	help	349.90180
2017_1q	join	348.39426	congratulations	348.39426
2017_1q	statement	341.46223	judge	341.46223
2017_1q	get	339.13452	first	339.13452
2017_1q	protect	338.45053	icymi	338.45053
2017_1q	time	338.25583	m	338.25583
2017_1q	republicans	337.02399	u	337.02399
2017_2q	s	1604.20975	thank	1604.20975
2017_2q	trump	1192.77027	today	1192.77027
2017_2q	#trumpcare	1117.55336	great	1117.55336
2017_2q	health	1009.02643	thanks	1009.02643
2017_2q	bill	996.93874	s	996.93874
2017_2q	today	941.58421	w	941.58421
2017_2q	care	894.86366	happy	894.86366
2017_2q	thank	822.73657	week	822.73657
2017_2q	people	818.27639	morning	818.27639
2017_2q	w	816.49943	tune	816.49943
2017_2q	would	793.81037	statement	793.81037
2017_2q	must	770.07325	day	770.07325
2017_2q	t	764.71488	watch	764.71488
2017_2q	americans	753.32185	bill	753.32185
2017_2q	great	744.50334	hearing	744.50334
2017_2q	need	738.78947	work	738.78947
2017_2q	us	680.85110	live	680.85110
2017_2q	happy	667.51307	support	667.51307
2017_2q	women	647.19960	congratulations	647.19960
2017_2q	i	618.66274	house	618.66274
2017_2q	president	610.03726	good	610.03726
2017_2q	work	597.63543	act	597.63543
2017_2q	american	572.41016	us	572.41016
2017_2q	families	553.74185	read	553.74185
2017_2q	budget	548.03489	discuss	548.03489
2017_2q	thanks	544.91966	see	544.91966
2017_2q	proud	540.88193	meeting	540.88193
2017_2q	live	532.18973	proud	532.18973
2017_2q	make	522.53068	time	522.53068
2017_2q	m	522.24991	help	522.24991
2017_2q	new	513.39783	icymi	513.39783
2017_2q	gop	507.18248	honor	507.18248
2017_2q	senate	505.53523	students	505.53523
2017_2q	day	505.07245	i	505.07245
2017_2q	time	504.14176	join	504.14176
2017_2q	days	499.16435	enjoyed	499.16435
2017_2q	house	496.85791	family	496.85791
2017_2q	fight	494.31386	tax	494.31386
2017_2q	statement	492.15482	veterans	492.15482
2017_2q	tax	489.35190	care	489.35190
2017_2q	congress	487.88772	via	487.88772
2017_2q	watch	487.74802	u	487.74802
2017_2q	support	486.96096	congrats	486.96096
2017_2q	one	469.83686	new	469.83686
2017_2q	it	464.95300	office	464.95300
2017_2q	help	453.63295	senate	453.63295
2017_2q	act	453.45981	health	453.45981
2017_2q	like	452.61139	service	452.61139
2017_2q	join	444.80941	yesterday	444.80941
2017_2q	get	434.46150	last	434.46150
