coef_d	feat_d	coef_r	feat_r	section	model	acc_d	acc_r	acc_all	recall	f1	support
-15.1248	2	-5.35905	great	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	53	-5.41915	thank	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	600	-5.75758	happy	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	100blackwomen	-5.85465	help	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	100m	-5.93153	house	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	100mil	-5.9619	day	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	100s	-5.96332	senate	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	100thanniversary	-5.99429	support	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	101st	-6.03203	work	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	1040	-6.03678	live	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	105	-6.06343	week	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	106k	-6.09843	proud	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	107m	-6.10118	ia03	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	10a	-6.11257	act	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	10milerun	-6.11798	office	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	10millionstrong	-6.14843	veterans	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	10mins	-6.16231	morning	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
-15.1248	113th	-6.19015	watch	2016_2q	MultinomialNB	0.79	0.77	0.78	0.78	0.78	12059
